Original_ID,Mapped_ID
Rød,0
Svart,1
Grå,2
Brun,3
Blå,4
Hvit,5
Sølv,6
,7
Grønn,8
Lilla,9
Oransje,10
Bronse,11
Beige,12
Fiolett,13
Turkis,14
Gul,15
Gull,16
Rosa,17
Smoke Silver Metallic,18
