Original_ID,Mapped_ID
5.0,0
,1
4.0,2
3.0,3
6.0,4
2.0,5
7.0,6
8.0,7
17.0,8
9.0,9
11.0,10
1.0,11
14.0,12
15.0,13
12.0,14
10.0,15
